Date,Region,Product,Sales,Units,Profit
2022-04,Central,Product C,57107.91,1073,10802.91
2025-03,East,Product C,54185.62,1002,13092.03
2019-10,Central,Product B,53496.43,823,5357.98
2022-12,Central,Product A,53629.43,417,9995.94
2022-01,East,Product C,42022.74,776,12386.25
2019-03,East,Product D,88392.32,878,9660.4
2022-03,Central,Product A,40990.42,741,9708.44
2022-12,West,Product E,44477.44,875,7926.42
2022-02,West,Product B,29330.91,729,6263.32
2023-03,South,Product B,17324.99,591,4943.37
2021-12,West,Product A,53952.29,1128,11726.54
2025-05,West,Product D,33041.72,826,8605.36
2023-05,North,Product A,39846.17,922,4028.62
2018-11,East,Product A,63958.77,935,14147.17
2021-05,West,Product A,27377.7,1019,3085.79
2019-11,Central,Product C,26387.67,927,5600.75
2021-11,East,Product A,35993.56,956,5442.72
2020-03,North,Product B,51305.71,740,8356.22
2018-04,Central,Product E,28721.05,838,8288.05
2023-11,East,Product C,57521.72,1031,15777.76
2020-04,West,Product D,64439.62,758,10624.1
2025-08,North,Product A,62748.82,537,6281.41
2024-05,North,Product C,50076.7,753,9188.18
2021-01,North,Product C,36395.19,636,4864.52
2020-08,North,Product D,53863.26,785,15754.43
2021-03,South,Product C,33912.02,601,3641.38
2018-02,South,Product D,47114.59,860,6076.79
2021-08,South,Product D,46785.13,662,6944.41
2021-02,Central,Product D,49318.96,843,12985.01
2019-04,North,Product A,35141.96,686,3800.78
2019-08,West,Product C,60771.92,609,15916.18
2019-08,West,Product A,36208.64,1109,10404.41
2018-01,East,Product D,37436.28,935,7797.59
2021-06,East,Product D,24342.06,823,7284.38
2018-12,Central,Product E,47795.82,836,7445.36
2019-07,East,Product D,53757.39,869,12278.53
2024-03,North,Product D,53394.32,969,5437.65
2025-05,East,Product A,77986.62,894,17967.51
2021-05,West,Product A,49927.15,723,6778.34
2018-08,East,Product A,56271.78,422,11353.55
2025-02,Central,Product C,54150.36,965,14022.9
2020-06,North,Product D,62751.81,878,9164.09
2021-12,East,Product D,50629.7,772,6856.38
2025-08,Central,Product E,54908.35,901,15957.16
2021-10,Central,Product C,35757.21,680,5495.7
2023-07,South,Product A,66444.95,732,19003.48
2021-10,South,Product B,37171.39,594,6115.07
2020-09,North,Product C,56746.61,1155,9039.85
2020-02,East,Product B,57725.72,1570,14989.0
2023-05,West,Product C,32711.52,499,3886.01
2025-03,East,Product A,52247.51,828,7839.75
2021-06,East,Product D,64495.88,697,9952.27
2018-05,West,Product E,44382.18,541,10647.39
2021-04,West,Product E,48392.08,702,9035.0
2022-10,South,Product E,76719.37,664,8564.85
2018-01,South,Product A,31086.74,983,9045.4
2023-04,Central,Product E,27209.45,703,4658.11
2025-02,North,Product E,46439.12,1174,5552.58
2021-12,Central,Product D,46211.48,550,8304.25
2018-10,Central,Product D,48073.82,706,10824.88
2022-10,North,Product E,64589.49,1108,18652.05
2018-02,North,Product D,59707.44,825,12842.76
2022-02,East,Product D,53404.76,745,14105.69
2018-12,East,Product A,54214.88,675,6193.38
2018-08,Central,Product B,33125.72,1056,5039.71
2018-07,West,Product B,64280.17,1090,17708.83
2020-12,North,Product E,50761.16,898,9375.29
2019-12,East,Product A,40771.32,876,6115.83
2019-12,Central,Product D,73292.9,712,18389.82
2020-06,North,Product A,69582.18,804,11412.17
2022-11,East,Product A,43830.64,996,12770.5
2022-04,East,Product B,37726.69,1218,5985.04
2020-01,West,Product C,44861.17,849,12838.63
2022-10,South,Product E,54867.77,1135,13232.26
2024-04,North,Product B,51351.09,816,13746.49
2021-10,Central,Product B,63293.03,753,8185.12
2020-05,Central,Product C,65910.39,847,18196.01
2019-05,North,Product E,40036.59,1072,4672.28
2023-01,West,Product C,38124.2,565,7125.05
2021-09,Central,Product B,39764.86,790,4921.44
2023-01,North,Product A,33436.67,952,6020.09
2020-01,North,Product E,51044.79,996,15241.61
2020-12,East,Product C,50367.65,899,11377.03
2019-02,North,Product E,36541.46,1105,9041.09
2024-03,West,Product B,82847.04,638,12880.75
2025-08,West,Product B,29713.24,688,4551.7
2021-05,West,Product C,55126.34,1175,8925.26
2024-12,Central,Product D,40305.51,719,4644.81
2018-06,South,Product C,61129.45,1095,11226.34
2022-08,South,Product C,67691.6,706,20135.22
2022-01,East,Product E,40763.21,1087,10836.2
2022-01,Central,Product A,13216.03,619,2044.27
2022-07,West,Product A,74582.9,845,21079.6
2019-11,Central,Product E,45304.64,480,5700.77
2022-03,Central,Product E,54997.6,748,13826.39
2020-10,West,Product B,0.0,746,0.0
2022-02,West,Product A,80911.22,1151,22277.34
2022-09,North,Product E,72335.68,975,10314.55
2021-02,West,Product B,65876.37,448,11755.56
2025-07,East,Product B,53002.02,365,13607.24
2020-06,South,Product C,64529.43,929,12381.22
2019-05,South,Product A,45779.22,467,13550.95
2022-05,South,Product E,55633.82,525,9363.88
2019-11,East,Product D,42292.0,588,11814.59
2023-07,East,Product E,51140.72,870,7403.63
2019-09,Central,Product B,37767.51,688,4446.77
2018-01,Central,Product A,61790.51,742,7770.14
2025-06,Central,Product C,39504.12,842,10852.4
2023-03,Central,Product A,62770.31,675,15670.73
2022-04,South,Product D,40602.14,361,10130.0
2019-02,East,Product C,58648.35,862,11866.64
2019-06,South,Product C,36931.3,754,9139.8
2020-04,South,Product A,26592.41,841,4483.09
2020-01,West,Product B,49880.41,1095,5855.16
2025-02,South,Product A,19886.48,1013,3330.77
2022-04,South,Product B,49831.59,472,8275.52
2020-09,Central,Product E,43128.35,674,5698.82
2024-03,North,Product C,12458.61,936,3693.67
2018-06,South,Product D,41348.43,951,5548.03
2022-03,North,Product B,80649.81,1123,12581.03
2021-08,Central,Product B,38551.11,439,7768.9
2018-12,North,Product B,46797.91,827,9416.71
2024-05,East,Product C,47771.73,718,6061.42
2019-11,South,Product D,59399.24,597,6983.78
2023-03,Central,Product A,57947.06,1088,11260.0
2020-11,North,Product E,55567.19,679,15984.91
2024-04,East,Product C,52752.68,870,5782.69
2023-12,East,Product A,61442.71,927,16283.95
2021-01,Central,Product C,54346.62,1215,9334.91
2021-06,North,Product B,46248.16,1060,8111.41
2022-03,Central,Product A,50276.28,1135,7362.59
2023-06,Central,Product C,15664.08,1086,2609.06
2022-03,South,Product D,57640.67,1049,11913.88
2020-03,West,Product E,43109.59,630,6453.41
2022-07,North,Product D,72646.57,880,20003.46
2021-02,Central,Product D,83857.97,613,16809.97
2018-08,Central,Product E,61354.83,615,14971.03
2020-12,West,Product B,38393.16,551,5233.74
2024-02,South,Product C,54199.53,574,10903.74
2025-05,North,Product D,36867.12,840,10461.05
2018-05,Central,Product B,40960.28,1060,4660.64
2022-03,Central,Product A,48646.59,956,5966.39
2019-09,South,Product D,50835.87,1018,11095.19
2019-09,North,Product E,66064.95,683,6667.7
2021-05,East,Product D,62347.56,814,10553.52
2024-10,East,Product B,52420.3,955,5586.4
2022-03,North,Product D,62066.59,768,10705.17
2023-03,East,Product B,45966.67,578,5381.31
2023-01,North,Product A,36937.03,477,6846.57
2022-08,East,Product E,28494.37,1093,7616.91
2019-07,South,Product A,46175.34,1100,9460.31
2025-08,North,Product B,73875.76,796,8909.14
2018-08,Central,Product C,28887.32,644,6609.42
2025-03,West,Product B,46147.74,1004,9706.93
2023-07,East,Product E,24372.45,1002,5212.99
2022-03,North,Product D,44739.78,754,6649.87
2024-06,East,Product D,24601.01,619,2887.79
2024-02,North,Product E,24953.31,1152,6950.35
